key_url;governor;name;percentage;votes;totalVotes;mascVotes;femnVotes
orlando-andrade;Orlando Andrade;Matina;0,02%;10;8987;4483;4497
rui-costa;Rui Costa;Palmas de Monte Alto;92,79%;1043;17092;8539;8549
ze-ronaldo;Zé Ronaldo;Palmas de Monte Alto;5,96%;6700;17092;8539;8549
marcos-mendes;Marcos Mendes;Palmas de Monte Alto;0,19%;210;17092;8539;8549
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Palmas de Monte Alto;0,43%;480;17092;8539;8549
joao-santana;João Santana;Palmas de Monte Alto;0,44%;490;17092;8539;8549
celia-sacramento;Célia Sacramento;Palmas de Monte Alto;0,20%;230;17092;8539;8549
orlando-andrade;Orlando Andrade;Palmas de Monte Alto;0,00%;0;17092;8539;8549
rui-costa;Rui Costa;Caldeirão Grande;92,75%;5889;9708;4987;4717
ze-ronaldo;Zé Ronaldo;Caldeirão Grande;6,66%;4230;9708;4987;4717
marcos-mendes;Marcos Mendes;Caldeirão Grande;0,13%;80;9708;4987;4717
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Caldeirão Grande;0,11%;70;9708;4987;4717
joao-santana;João Santana;Caldeirão Grande;0,22%;140;9708;4987;4717
celia-sacramento;Célia Sacramento;Caldeirão Grande;0,11%;70;9708;4987;4717
orlando-andrade;Orlando Andrade;Caldeirão Grande;0,02%;10;9708;4987;4717
rui-costa;Rui Costa;Coronel João Sá;92,53%;7962;11513;5886;5627
ze-ronaldo;Zé Ronaldo;Coronel João Sá;6,33%;5450;11513;5886;5627
marcos-mendes;Marcos Mendes;Coronel João Sá;0,08%;70;11513;5886;5627
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Coronel João Sá;0,13%;110;11513;5886;5627
joao-santana;João Santana;Coronel João Sá;0,76%;650;11513;5886;5627
celia-sacramento;Célia Sacramento;Coronel João Sá;0,16%;140;11513;5886;5627
orlando-andrade;Orlando Andrade;Coronel João Sá;0,01%;10;11513;5886;5627
rui-costa;Rui Costa;Boquira;92,50%;9017;16094;8248;7842
ze-ronaldo;Zé Ronaldo;Boquira;6,61%;6440;16094;8248;7842
marcos-mendes;Marcos Mendes;Boquira;0,27%;260;16094;8248;7842
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Boquira;0,22%;210;16094;8248;7842
joao-santana;João Santana;Boquira;0,27%;260;16094;8248;7842
celia-sacramento;Célia Sacramento;Boquira;0,13%;130;16094;8248;7842
orlando-andrade;Orlando Andrade;Boquira;0,01%;10;16094;8248;7842
rui-costa;Rui Costa;Ibipeba;92,36%;8137;13376;6610;6765
ze-ronaldo;Zé Ronaldo;Ibipeba;7,05%;6210;13376;6610;6765
marcos-mendes;Marcos Mendes;Ibipeba;0,16%;140;13376;6610;6765
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Ibipeba;0,07%;60;13376;6610;6765
joao-santana;João Santana;Ibipeba;0,28%;250;13376;6610;6765
celia-sacramento;Célia Sacramento;Ibipeba;0,07%;60;13376;6610;6765
orlando-andrade;Orlando Andrade;Ibipeba;0,01%;10;13376;6610;6765
rui-costa;Rui Costa;Itapicuru;92,26%;12236;23259;11439;11815
ze-ronaldo;Zé Ronaldo;Itapicuru;6,85%;9090;23259;11439;11815
marcos-mendes;Marcos Mendes;Itapicuru;0,16%;210;23259;11439;11815
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Itapicuru;0,11%;150;23259;11439;11815
joao-santana;João Santana;Itapicuru;0,32%;430;23259;11439;11815
celia-sacramento;Célia Sacramento;Itapicuru;0,28%;370;23259;11439;11815
orlando-andrade;Orlando Andrade;Itapicuru;0,02%;20;23259;11439;11815
rui-costa;Rui Costa;Crisópolis;92,22%;924;16845;8286;8558
ze-ronaldo;Zé Ronaldo;Crisópolis;7,22%;7230;16845;8286;8558
marcos-mendes;Marcos Mendes;Crisópolis;0,06%;60;16845;8286;8558
