name;url_city;totalVotes;mascVotes;femnVotes
Coronel João Sá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/coronel-joao-sa-ba/;11513;5886;5627
Correntina;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/correntina-ba/;26351;13257;13085
Cotegipe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cotegipe-ba/;11208;5381;5822
Cravolândia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cravolandia-ba/;4243;2144;2099
Crisópolis;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/crisopolis-ba/;16845;8286;8558
Cristópolis;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cristopolis-ba/;11801;5769;6024
Cruz das Almas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cruz-das-almas-ba/;44071;24147;19924
Curaçá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/curaca-ba/;25044;12304;12733
Dário Meira;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/dario-meira-ba/;7550;3793;3757
Dias d'Ávila;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/dias-d-avila-ba/;48604;25871;22718
Dom Basílio;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/dom-basilio-ba/;9808;4718;5087
Dom Macedo Costa;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/dom-macedo-costa-ba/;3892;2037;1855
Elísio Medrado;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/elisio-medrado-ba/;7475;3716;3748
Encruzilhada;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/encruzilhada-ba/;14389;7197;7192
Entre Rios;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/entre-rios-ba/;31948;16574;15372
Érico Cardoso;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/erico-cardoso-ba/;8930;4497;4425
Esplanada;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/esplanada-ba/;24806;12810;11993
Euclides da Cunha;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/euclides-da-cunha-ba/;42685;22138;20531
Eunápolis;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/eunapolis-ba/;76049;40474;35574
Fátima;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/fatima-ba/;15099;7547;7552
Feira da Mata;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/feira-da-mata-ba/;4997;2438;2557
Feira de Santana;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/feira-de-santana-ba/;384050;213559;170490
Filadélfia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/filadelfia-ba/;14330;7215;7110
Firmino Alves;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/firmino-alves-ba/;4818;2355;2461
Floresta Azul;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/floresta-azul-ba/;7593;3837;3753
Formosa do Rio Preto;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/formosa-do-rio-preto-ba/;18315;8945;9347
Gandu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/gandu-ba/;21700;11368;10329
Gavião;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/gaviao-ba/;4309;2104;2201
Gentio do Ouro;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/gentio-do-ouro-ba/;8962;4300;4661
Glória;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/gloria-ba/;12782;6576;6203
Gongogi;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/gongogi-ba/;4948;2494;2454
Governador Mangabeira;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/governador-mangabeira-ba/;15836;8623;7213
Guajeru;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/guajeru-ba/;7453;3709;3737
Guanambi;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/guanambi-ba/;60392;32066;28326
Guaratinga;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/guaratinga-ba/;14871;7247;7611
Heliópolis;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/heliopolis-ba/;10481;5330;5151
Iaçu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/iacu-ba/;22082;11396;10681
Ibiassucê;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibiassuce-ba/;8781;4357;4415
Ibicaraí;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibicarai-ba/;18514;9700;8799
Ibicoara;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibicoara-ba/;13144;6497;6644
Ibicuí;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibicui-ba/;10975;5537;5433
Ibipeba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibipeba-ba/;13376;6610;6765
Ibipitanga;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibipitanga-ba/;12703;6475;6227
Ibiquera;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibiquera-ba/;3416;1651;1765
Ibirapitanga;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibirapitanga-ba/;12638;6718;5920
Ibirapuã;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibirapua-ba/;6788;3334;3435
Ibirataia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibirataia-ba/;14538;7657;6881
Ibitiara;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibitiara-ba/;10479;5357;5122
Ibititá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibitita-ba/;14224;7054;7170
Ibotirama;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibotirama-ba/;19636;9928;9688
Ichu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ichu-ba/;5261;2650;2604
Igaporã;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/igapora-ba/;11652;5894;5755
Igrapiúna;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/igrapiuna-ba/;9858;4818;5038
Iguaí;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/iguai-ba/;19697;9623;10069
Ilhéus;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ilheus-ba/;116780;63918;52862
Inhambupe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/inhambupe-ba/;25865;13386;12460
Ipecaetá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ipecaeta-ba/;13249;6945;6304
Ipiaú;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ipiau-ba/;29891;16212;13679
Ipirá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ipira-ba/;43574;22924;20650
Ipupiara;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ipupiara-ba/;7804;3854;3945
Irajuba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/irajuba-ba/;5049;2537;2512
Iramaia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/iramaia-ba/;8699;4222;4471
Iraquara;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/iraquara-ba/;16623;8674;7946
Irará;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/irara-ba/;23482;12475;11006
Irecê;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/irece-ba/;44082;24526;19556
Itabela;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itabela-ba/;22432;11375;11049
Itaberaba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itaberaba-ba/;42346;22915;19425
Itabuna;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itabuna-ba/;154473;83934;70425
Itacaré;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itacare-ba/;15122;7411;7708
Itaeté;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itaete-ba/;10713;5389;5318
Itagi;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itagi-ba/;9546;4864;4682
Itagibá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itagiba-ba/;11041;5582;5459
Itagimirim;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itagimirim-ba/;5696;2904;2792
Itaguaçu da Bahia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itaguacu-da-bahia-ba/;9654;4664;4988
Itaju do Colônia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itaju-do-colonia-ba/;5102;2568;2529
Itajuípe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itajuipe-ba/;17003;8694;8302
Itamaraju;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itamaraju-ba/;44327;23193;21132
Itamari;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itamari-ba/;6440;3168;3272
Itambé;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itambe-ba/;18243;9221;9020
Itanagra;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itanagra-ba/;5587;2704;2882
Itanhém;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itanhem-ba/;15910;7883;8024
Itaparica;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itaparica-ba/;16599;8901;7697
Itapé;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itape-ba/;9547;4787;4760
Itapebi;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itapebi-ba/;7366;3714;3652
Itapetinga;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itapetinga-ba/;46558;24708;21846
Itapicuru;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itapicuru-ba/;23259;11439;11815
Itapitanga;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itapitanga-ba/;6576;3293;3281
Itaquara;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itaquara-ba/;6172;3130;3042
Itarantim;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itarantim-ba/;14170;7051;7116
Itatim;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itatim-ba/;11573;5851;5698
Itiruçu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itirucu-ba/;9312;4911;4401
Itiúba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itiuba-ba/;29225;14620;14583
Itororó;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itororo-ba/;16484;8448;8031
Ituaçu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ituacu-ba/;14599;7398;7200
Ituberá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itubera-ba/;19258;9932;9318
Iuiú;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/iuiu-ba/;8402;4068;4321
Jaborandi;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jaborandi-ba/;8165;3984;4181
Jacaraci;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jacaraci-ba/;12001;5822;6178
Jacobina;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jacobina-ba/;53609;29437;24172
