url_source_gov;governor;url_the_city;name;percentage;votes
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jaguaripe-ba/governador/;Jaguaripe;91,49%;8.224
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/tabocas-do-brejo-velho-ba/governador/;Tabocas do Brejo Velho;91,49%;5.592
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pindai-ba/governador/;Pindaí;91,44%;7.361
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/botupora-ba/governador/;Botuporã;91,41%;5.360
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/novo-horizonte-ba/governador/;Novo Horizonte;91,21%;5.561
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/andarai-ba/governador/;Andaraí;91,12%;5.683
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/rio-do-pires-ba/governador/;Rio do Pires;91,12%;4.800
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-ines-ba/governador/;Santa Inês;91,12%;4.647
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/bonito-ba/governador/;Bonito;91,08%;7.254
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lagoa-real-ba/governador/;Lagoa Real;91,07%;6.168
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/campo-alegre-de-lourdes-ba/governador/;Campo Alegre de Lourdes;91,06%;12.462
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lafaiete-coutinho-ba/governador/;Lafaiete Coutinho;91,06%;2.291
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/barra-do-mendes-ba/governador/;Barra do Mendes;90,94%;6.627
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/palmeiras-ba/governador/;Palmeiras;90,88%;4.167
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/america-dourada-ba/governador/;América Dourada;90,78%;7.417
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/candiba-ba/governador/;Candiba;90,71%;6.417
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/canapolis-ba/governador/;Canápolis;90,70%;4.664
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nova-canaa-ba/governador/;Nova Canaã;90,70%;6.190
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/caturama-ba/governador/;Caturama;90,58%;4.030
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/presidente-janio-quadros-ba/governador/;Presidente Jânio Quadros;90,32%;5.428
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/heliopolis-ba/governador/;Heliópolis;90,28%;6.797
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lajedinho-ba/governador/;Lajedinho;90,23%;1.977
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/teodoro-sampaio-ba/governador/;Teodoro Sampaio;90,16%;3.975
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/rio-do-antonio-ba/governador/;Rio do Antônio;90,05%;5.922
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/tanque-novo-ba/governador/;Tanque Novo;89,92%;7.291
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/barro-alto-ba/governador/;Barro Alto;89,83%;5.724
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pedrao-ba/governador/;Pedrão;89,79%;3.604
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/biritinga-ba/governador/;Biritinga;89,77%;7.584
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pilao-arcado-ba/governador/;Pilão Arcado;89,77%;15.621
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/uibai-ba/governador/;Uibaí;89,70%;6.940
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nova-soure-ba/governador/;Nova Soure;89,64%;11.208
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/dario-meira-ba/governador/;Dário Meira;89,62%;4.307
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibiquera-ba/governador/;Ibiquera;89,57%;1.897
