Município [-];Código [-];Gentílico [-];Prefeito [2021];Área Territorial - km² [2021];População estimada - pessoas [2021];Densidade demográfica - hab/km² [2010];Escolarização <span>6 a 14 anos</span> - % [2010];IDHM [2010];Mortalidade infantil - óbitos por mil nascidos vivos [2020];Receitas realizadas - R$ (×1000) [2017];Despesas empenhadas - R$ (×1000) [2017];PIB per capita - R$ [2019]
Canápolis;2906105;canapolense;REGINALDO DE SOUZA PEREIRA;460,388;9694;21,52;96,9;0,565;7,81;23593,6802;22189,38861;7171,48
Canarana;2906204;canaraense;EZENIVALDO ALVES DOURADO;579,726;26468;41,76;98,9;0,587;16,34;51966,57178;53125,75256;7959,98
Canavieiras;2906303;canavieirense;CLÓVIS ROBERTO ALMEIDA DE SOUZA;1334,284;30722;24,37;94,9;0,59;13,92;60662,18608;54775,59273;11055,45
Candeal;2906402;candealense;EVERTON PEREIRA CERQUEIRA;447,578;8109;19,98;98,2;0,587;32,26;19365,10353;17317,14694;7080,22
Candeias;2906501;candeense;PITÁGORAS ALVES DA SILVA IBIAPINA;251,808;87820;321,87;97,6;0,691;22,56;307031,3887;258731,9117;53758,72
Candiba;2906600;candibense;REGINALDO MARTINS PRADO;433,642;14415;31,6;98,3;0,591;17,75;29804,88684;27959,04446;8412,53
Cândido Sales;2906709;cândido-salense;MAURILIO LEMOS DAS VIRGENS;1169,814;24921;17,26;96,2;0,601;11,73;58734,35743;55384,55261;8351,37
Cansanção;2906808;cansançãoense;VILMA ROSA DE OLIVEIRA GOMES;1351,891;34929;24,62;98,6;0,557;8,58;71242,73356;68139,27052;8210,1
Canudos;2906824;canudense;JILSON CARDOSO DE MACEDO;3565,377;16832;4,89;98,6;0,562;38,1;40038,98209;40279,64027;7949,27
Capela do Alto Alegre;2906857;capelense;CLAUDINEI XAVIER NOVATO;629,586;11597;17,75;98,6;0,599;29,13;26752,37754;24375,4719;8311,99
Capim Grosso;2906873;capim-grossense;JOSÉ SIVALDO RIOS DE CARVALHO;464,776;31055;79,47;96,2;0,621;15,66;64297,84337;61461,55994;13925,19
Caraíbas;2906899;caraibense;JONES COELHO DIAS;805,629;8659;12,69;97,3;0,555;-;22942,28133;19369,47585;8566,34
Caravelas;2906907;caravelense;SÍLVIO RAMALHO DA SILVA;2377,889;22166;8,95;95,4;0,616;14,98;60492,57424;59071,92069;15702,49
Cardeal da Silva;2907004;cardinalense;ANTONIO AUGUSTO SALES DE JESUS;293,456;9395;34,64;98,1;0,552;-;28380,52541;24684,72573;12781,39
Carinhanha;2907103;carinhanhense;FRANCISCA ALVES RIBEIRO;2525,906;29118;10,37;98,8;0,576;6,83;61936,43453;57003,7034;8426,44
Casa Nova;2907202;casa-novense;WILKER OLIVEIRA TORRES;9647,072;73092;6,73;95,5;0,57;24,37;136950,3451;131324,8581;10532,31
Castro Alves;2907301;castro-alvense;THIANCLE DA SILVA ARAUJO;713,789;26369;35,7;95,9;0,613;-;54272,93744;51417,19685;11229,9
Catolândia;2907400;catolandiano;GIOVANNI MOREIRA DOS SANTOS;702,504;3619;4,06;98,4;0,582;-;15604,83962;14348,63774;21434,45
Catu;2907509;catuense;NARLISON BORGES DE SALES;426,955;55222;122,72;97,3;0,677;17,13;115313,5248;107811,4953;11810,26
Caturama;2907558;caturamense;PAULO HUMBERTO NEVES MENDONÇA;716,261;9303;13,31;98,7;0,571;48,19;20974,37395;20615,04108;6889,08
Central;2907608;centralense;RENATO PEREIRA DE SANTANA;566,974;17293;28,24;98,9;0,596;24,75;37941,24425;36237,46756;9705,87
Chorrochó;2907707;chorrochoense;HUMBERTO GOMES RAMOS;3005,319;11221;3,57;96,6;0,6;7,09;30272,9238;26996,51625;7276,87
